編號,範圍,項目,GitHub舊版,目前盤點版本,影響與相依,建議（不是已選）,選擇A/B/C,備註,程式或設定位置,可確認修改來源
U04,操作台與連線流程,正常完成／失敗後供電流程,舊GUI按鈕直接發power command；reset全關,Manual正常完成用sensors模式保留感測器、關relay；執行階段失败/取消嘗試all-off,Tripod單獨SIGINT不等同此Manual流程，也不等同整機停止。,B：保留清楚區分；如要統一流程可選C,,,src/rinbo_control/rinbo_control/runtime.py,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
U05,操作台與連線流程,上電前工具門檻,舊GUI沒有同等核對,power tool健康腿電流須<3A，與FSM動作時5A不同,不同階段／層的門檻；不要只改FSM後以為所有地方都放寬。,C：依上電前與運轉中用途分别評估,,,src/redrhex_lowlevel_bridge/redrhex_lowlevel_bridge/rinbo_power_tool.py; src/rinbo_control/rinbo_control/runtime.py,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
U06,操作台與連線流程,校正快取／重試與錯誤說明,沒有sensor_epoch與原生成功紀錄核對,本次操作台完成校正、sensor_epoch未變、原生紀錄有效才沿用；失敗不自動重跑,選A需重做整個狀態判斷，不是清除一個error旗標。,B：保留紀錄核對；精簡流程可選C,,,src/rinbo_control/rinbo_control/runtime.py; src/rinbo_control/rinbo_control/feedback.py,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
R01,Sim2Real／策略與轉接,Sim2Real整體與所選profile,GitHub没有這三套redrhex套件,有redrhex_msgs、lowlevel_bridge、rl_controller與多組profile；目前未觀察到運行中的策略程序,沒有可直接恢復的舊版RL數字；A代表停用新增路徑而非填0。,B：保留原始碼；啟用profile需另確認,,,src/redrhex_lowlevel_bridge/config/lowlevel_bridge.yaml; src/redrhex_rl_controller/config/redrhex_policy.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
R02,Sim2Real／策略與轉接,Sim2Real的腿位mask,無RL設定,原生FSM=L3；site full_feedback兩份=[]；sensor_v2兩份=[L1],这些檔案不自動等同原生site mask；必須按實際launch配置配對。沒有因此修改L3。,C：在選定profile後對齊L3，不能現在盲改全部模板,,,/home/jetson/redrhex_site/redrhex_policy_full_feedback_rig.yaml; /home/jetson/redrhex_site/redrhex_policy_sensor_v2_suspended_experimental.yaml; src/redrhex_rl_controller/redrhex_rl_controller/rinbo_leg_mask.py,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
R03,Sim2Real／策略與轉接,RL速度到PWM轉換／限幅,無,基礎rinbo adapter：40 PWM/(rad/s)、cap80、slew250/s,不是Tripod PD公式，也不是SBReal已量測的馬達模型；部分profile不同。,C：確認實際profile及馬達關係後調整,,,src/redrhex_lowlevel_bridge/redrhex_lowlevel_bridge/rinbo_ros_backend.py; src/redrhex_lowlevel_bridge/config/lowlevel_bridge.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
R04,Sim2Real／策略與轉接,RL encoder／方向／伺服換算,無RL對照,基礎54984.83 counts/rev、encoder左負右正；ABAD1000 counts/rad為待校準值,引用Tripod的counts常數不是硬體規格證據；方向還有命令sign hook。,C：量測後設定，不猜比例與方向,,,src/redrhex_lowlevel_bridge/redrhex_lowlevel_bridge/rinbo_ros_backend.py; src/redrhex_lowlevel_bridge/config/lowlevel_bridge.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
R05,Sim2Real／策略與轉接,RL初始站姿到位,無,base：2s參考/12s timeout/.12rad/.25rad/s/.5s；site兩份timeout30s,不是rinbo_standing；Control Panel選15的Sim2Real頁只改明確選中的profile。,C：按選定profile評估，不改Cali/Standing,,,src/rinbo_control/rinbo_control/sim_motion_limits.py; src/redrhex_rl_controller/config/redrhex_policy.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
R06,Sim2Real／策略與轉接,RL主驅動與ABAD動作限幅,無,base：主速度30rad/s、slew120rad/s²；ABAD角0.7rad、slew6rad/s；site rig通常12與1,不同profile數字差異很大，完整值另附CSV；不宣稱base目前生效。,C：選定profile後統一操作需求,,,src/redrhex_rl_controller/config/redrhex_policy.yaml; src/redrhex_rl_controller/redrhex_rl_controller/safety_filter.py,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
R07,Sim2Real／策略與轉接,RL資料、推論、姿態等保護,無,base有姿態0.7rad、sensor0.10s、cmd0.25s、推論8ms／loop30ms等；profile有更嚴格契約,硬體觀測缺失、ONNX契約或mask不符不能由提高PWM修復。,B：保留有效資料；閾值C需個別評估,,,src/redrhex_rl_controller/redrhex_rl_controller/rl_controller_node.py; src/redrhex_rl_controller/config/redrhex_policy.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
R08,Sim2Real／策略與轉接,RL policy檔案／契約／啟動使能,無,ONNX觀測/動作契約、hash與啟動輸出檢查；基礎enable_policy_on_start=false、enable_motor_output_on_start=false,模型／硬體校準未證實；本輪不載入模型或執行推論／動作。,B：保留契約檢查與明確啟動,,,src/redrhex_rl_controller/redrhex_rl_controller/policy_validation.py; src/redrhex_rl_controller/config/redrhex_policy.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
R09,Sim2Real／策略與轉接,RL供電與通訊門檻,無,base adapter18～30V/3A/3筆；site rig18～42V/5A；state0.25s、power0.35s、cmd0.10s,再次說明profile與native FSM不同；不是全部平台已統一成同一數字。,C：確認所選profile；保留供電／通訊功能,,,src/redrhex_lowlevel_bridge/config/lowlevel_bridge.yaml; src/redrhex_lowlevel_bridge/redrhex_lowlevel_bridge/rinbo_ros_backend.py,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
D01,記錄、監控與訊息,資料記錄內容與CSV介面,trigger後依pid/data寫單一CSV；actual右腿反號,summary.csv/events.csv/metadata；100Hz摘要；原始motor state、命令、power、debug、首因；auto_start預設true,欄名／座標不能直接拿舊分析程式套用；CSV摘要不是每筆控制回讀。,B：保留完整記錄；需要舊格式可選C加相容匯出,,,src/rinbo_data_recorder/src/rinbo_data_recorder.cpp; src/rinbo_data_recorder/config/logging_tripod_safety.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
D02,記錄、監控與訊息,浏览器監控／錄製,無rinbo_monitor,唯讀狀態、原始/轉送PWM、錄製；port8088、顯示過期0.5s,顯示門檻不會改控制器保護；頁面無上電／馬達控制路由。,B：保留獨立監看,,,src/rinbo_monitor/rinbo_monitor/server.py; src/rinbo_monitor/rinbo_monitor/panel.html,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
D03,記錄、監控與訊息,ROS消息契約,9個基本.msg,基本.msg內容相同（只有換行差）；新增ControllerDebugStamped、SafetyEventStamped,不是把原來motor/command欄位重編碼；新增型別需相容建置。,B：保留新增診斷型別,,,src/rinbo_msgs/CMakeLists.txt; src/rinbo_msgs/msg/ControllerDebugStamped.msg; src/rinbo_msgs/msg/SafetyEventStamped.msg,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
O01,舊版其他套件／建置,舊PyQt GUI與啟動名稱,有rinbo_panel；Tripod按鈕呼叫rinbo_tripod_rslip，但同倉庫CMake只產生rinbo_tripod,本機沒有此package；Windows桌面App也不是這份原始碼,已確認舊GUI／CMake入口名稱不一致；整包照抄不能保證可用。,C：若要恢復舊GUI，保留外觀但修正入口與新版握手,,,docs/diagnostics/workspace_audit_20260909/upstream/src/rinbo_panel/scripts/rinbo_control_panel.py; docs/diagnostics/workspace_audit_20260909/upstream/src/rinbo_fsm/CMakeLists.txt,此package在本機HEAD本來就不存在，不能歸因為本次助理刪除
O02,舊版其他套件／建置,舊PID測試／單腿RSLIP,有rinbo_pid_test：正弦5000 counts、0.2Hz、PWM500；另有rinbo_traj_rslip,本機沒有這兩支；另有rinbo_sin_sweep退役stub及Manual入口,原版測試直接發布motor命令；不同於新版逐腳控制，不適合未核對直接混用。,C：如需測PID，做相容獨立測試入口,,,docs/diagnostics/workspace_audit_20260909/upstream/src/rinbo_pid_test/src/rinbo_pid_test.cpp; src/rinbo_fsm/src/rinbo_sin_sweep.cpp,舊package在本機HEAD不存在；退役stub是目前新增層
O03,舊版其他套件／建置,IMU子模組,gitlink src/microstrain_inertial,本機src沒有此子模組,GitHub樹只有指向commit；沒有同倉庫.gitmodules，不能假裝已拿到完整IMU驅動內容。,C：若需要IMU，先確認實際型號、來源與安裝位置,,,docs/diagnostics/workspace_audit_20260909/inventory.json,本機HEAD也沒有該gitlink；不是本次刪除
O04,舊版其他套件／建置,建置與README,ROS2 ament CMake；README混有Corgi/ROS1 catkin說明,新增yaml-cpp/OpenSSL/診斷消息、robot_config靜態庫與測試；README改為當前入口,不能用舊README判定整包應改回ROS1；恢復來源要同步相依套件與執行檔名稱。,B：保留當前建置；只按所選控制項調整,,,src/rinbo_fsm/CMakeLists.txt; src/rinbo_ros_bridge/CMakeLists.txt; README.md,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
F01,FPGA 與 Windows 邊界,FPGA console生命週期候選,本GitHub沒有FPGA driver原始碼，無法以此倉庫定義原版,tools/fpga_lifecycle是依sbRIO歷史正式源碼製作的候選；文件標示未部署,候選修正EOF/HUP/ERR/忙迴圈、背景/監看責任及off流程；不能當成目前sbRIO已運行版本。,B：保留候選供另案部署決策，不自動替換驅動,,,tools/fpga_lifecycle/README.md; tools/fpga_lifecycle/baseline/console.cpp; tools/fpga_lifecycle/src/console.cpp,本次對話／候選測試紀錄可追溯；本轮沒有遠端部署
F02,FPGA 與 Windows 邊界,Windows期待值／停止入口,本GitHub的PyQt GUI不是現用Windows程式；無Windows source,已有交接prompt；Bridge expected PWM需3300、site revision/hash動態讀取；Tripod stop≠all-off,無法在這台Orin核對Windows目前實作；不能說已替Windows修改完成。,C：Windows提供當前程式後另比對；Orin先保留現況,,,docs/windows_bridge_pwm3300_prompt_20260909_zh_TW.md; docs/tripod_restore_20260909_zh_TW.md,本次對話有Windows日誌與交接紀錄，無其原始碼
